Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO
2/3/2020,156.589996,131,308.660004,316,129.770004,106.279999,46.529999,58.580002
2/4/2020,157.240005,131.850006,318.850006,317.940002,133.509995,106.849998,47.619999,58.84
2/5/2020,162.330002,133.600006,321.450012,329.549988,137.440002,110.279999,48.450001,58.849998
2/6/2020,162.889999,133.25,325.209991,341.429993,137.25,109.489998,48.689999,58.990002
2/7/2020,160.080002,131.820007,320.029999,336.75,133.369995,108.940002,47.970001,59.189999
2/10/2020,160.149994,132.240005,321.549988,344.670013,134.320007,109.790001,48.869999,59.75
2/11/2020,162.449997,132.630005,319.609985,344.420013,136.190002,111.209999,49.130001,59.59
2/12/2020,163.800003,133.240005,327.200012,347.450012,139.589996,112.040001,49.93,59.41
2/13/2020,159.759995,134.460007,324.869995,342.820007,139.720001,111.660004,47.32,59.610001
2/14/2020,161.009995,135.869995,324.950012,340.48999,137.990005,110.080002,46.970001,59.950001
2/18/2020,158.880005,135.600006,319,338.880005,136.580002,110.239998,46.59,59.529999
2/19/2020,159.339996,136.929993,323.619995,338.299988,136.860001,110.739998,46.290001,59.77
2/20/2020,158.559998,136.580002,320.299988,336.279999,136.929993,109.809998,46.849998,59.720001
2/21/2020,156.929993,134.899994,313.049988,330.380005,137.210007,109.010002,46.299999,60.130001
2/24/2020,152.550003,128.190002,298.179993,317.899994,132.169998,104.709999,44,58.650002
2/25/2020,146.850006,120.900002,288.079987,304.140015,129,100.709999,42.740002,57.82
2/26/2020,148.960007,118.5,292.649994,305.589996,128.25,98.040001,42.16,57.599998
2/27/2020,150.160004,112.809998,273.519989,287.76001,123.269997,94.129997,40.040001,54.93
2/28/2020,149.240005,109.93,273.359985,275.109985,124.239998,93.339996,39.93,53.490002
